ID_Product;Quantity;Quantity_Fourniss_After_Cumule;Qty Available
51135A10A08;1;1;1
51135A164C5;1;1;1
51135A1D9B2;1;1;1
51135A1D9B4;1;1;1
51135A29A01;1;1;1
51135A2F425;1;1;1
51135A36F33;1;1;1
51135A36F34;1;1;1
51137032535;1;1;1
51137036698;2;2;2
51137036700;2;2;2
51137036701;1;2;2
51137036701;1;2;2
51137058231;1;1;1
51137116963;1;2;2
51137116963;1;2;2
51137124260;1;1;1
51137128613;1;1;1
51137128614;1;1;1
51137133845;1;1;1
51137146099;1;1;1
51137157276;1;1;1
51137157278;1;1;1
51137175713;1;1;1
51137210093;1;1;1
51137210094;1;1;1
51137217156;1;1;1
51137223190;1;1;1
51137226626;1;1;1
51137230207;1;1;1
51137230208;1;1;1
51137230376;1;1;1
51137294485;1;1;1
51137294813;1;1;1
51137298873;1;1;1
51137300595;1;2;2
51137300595;1;2;2
51137301568;1;1;1
51137305589;1;1;1
51137319535;1;1;1
51137319536;1;1;1
51137328385;1;1;1
51137333271;1;1;1
51137352556;1;1;1
51137354776;1;2;2
51137354776;1;2;2
51137356298;1;1;1
51137356434;2;2;2
51137371686;1;1;1
51137383520;2;2;2
51137388119;1;1;1
51137453550;1;1;1
51137495236;1;1;1
51137903859;1;1;1
51137955954;1;1;1
51138052083;1;1;1
51138054491;1;1;1
51138054492;1;1;1
51138060761;28;28;28
51138075666;1;1;1
51138080921;1;1;1
51138092664;1;1;1
51138185790;1;1;1
51138208405;1;1;1
51138220766;1;1;1
51138250051;2;2;2
51138250052;1;1;1
51139803777;1;1;1
51139804608;1;1;1
51139804609;1;1;1
51139804610;1;1;1
51141970248;17;17;17
51142184358;1;2;2
51142184358;1;2;2
51142184448;1;1;1
51142185055;1;1;1
51142347947;1;1;1
51142348090;1;1;1
51142359444;1;1;1
51142359602;1;2;2
51142359602;1;2;2
51142410442;1;1;1
51142414310;1;1;1
51142414407;1;1;1
51142446495;1;1;1
51142447018;1;1;1
51142456383;1;1;1
51142459033;2;2;2
51142464285;1;1;1
51142464291;1;1;1
51142472843;1;1;1
51142755607;1;1;1
51142755609;1;1;1
51144420341;1;1;1
51145A261A1;1;1;1
51145A35373;1;1;1
51147030287;2;2;2
51147030288;2;2;2
51147039783;1;1;1
51147120251;1;1;1
51147166210;1;1;1
51147239618;1;1;1
51147281511;1;1;1
51147281512;1;1;1
51147356330;1;1;1
51147362667;1;1;1
51147364429;1;1;1
51147376833;1;1;1
51147418521;1;1;1
51147438494;1;1;1
51147457179;1;1;1
51147464126;1;1;1
51147476445;1;1;1
51147478147;1;1;1
51147478148;1;1;1
51147932659;1;1;1
51148072701;1;1;1
51148195096;1;1;1
51148255238;1;1;1
51148496003;1;1;1
51148496013;2;2;2
51148737319;1;1;1
51148737320;1;1;1
51149443911;1;1;1
51149450486;1;1;1
51149811277;1;1;1
51160430220;1;1;1
51162148221;1;1;1
51162162252;1;1;1
51162182697;2;2;2
51162291440;1;1;1
51162291441;1;1;1
51162329065;1;1;1
51162339010;1;1;1
51162353316;1;1;1
51162353317;1;1;1
51162353709;1;1;1
51162353713;1;1;1
51162353718;1;1;1
51162409457;1;2;2
51162409457;1;2;2
51162410463;1;1;1
51162465793;1;1;1
51162752812;1;1;1
51162757650;1;1;1
51162991663;1;1;1
51162992993;1;1;1
51162993659;1;1;1
51163413098;1;1;1
51166833815;1;1;1
51166954936;1;1;1
51166961763;1;1;1
51166963375;1;1;1
51166982567;1;1;1
51167011970;1;1;1
51167030634;1;1;1
51167039241;1;1;1
51167058063;1;1;1
51167060035;1;1;1
51167114939;1;1;1
51167131186;1;1;1
51167132380;3;3;3
51167135097;1;1;1
51167135098;1;1;1
51167161764;1;1;1
51167164981;1;1;1
51167164982;1;1;1
51167179637;1;1;1
51167186582;1;1;1
51167206631;1;1;1
51167206632;1;1;1
51167216368;1;2;2
51167216368;1;2;2
51167218291;1;1;1
51167220825;1;1;1
51167238069;1;1;1
51167238299;1;1;1
51167244110;1;1;1
51167244111;2;2;2
51167255842;1;1;1
51167266028;2;2;2
51167266031;2;2;2
51167266033;1;1;1
51167266035;1;3;3
51167266035;2;3;3
51167266038;1;1;1
51167284133;1;1;1
51167285163;1;1;1
51167290029;2;2;2
51167300414;1;1;1
51167308645;1;1;1
51167375964;1;1;1
51167376271;1;1;1
51167376273;1;1;1
51167376274;1;1;1
51167391897;1;1;1
51167415807;1;1;1
51167441036;1;1;1
51167459162;1;1;1
51167468257;1;1;1
51168058572;1;1;1
51168071070;1;1;1
51168165115;1;1;1
51168217942;1;1;1
51168231322;1;1;1
51168247131;1;1;1
51168247302;1;1;1
51168254903;1;1;1
51168256322;1;1;1
51168266604;1;1;1
51168269025;1;1;1
51168269026;1;1;1
51169134459;1;1;1
51169142175;1;1;1
51169171560;1;1;1
51169197227;1;1;1
51169202112;1;1;1
51169263413;1;2;2
51169263413;1;2;2
51169266624;1;1;1
51169277226;1;1;1
51169288616;1;1;1
51169298000;1;1;1
51169306116;1;1;1
51169335205;1;1;1
51169459207;1;1;1
51169804425;1;1;1
51169879142;1;1;1
51177076054;1;1;1
51177201690;1;1;1
