ID_Product,Quantity,Quantity_Fourniss_After_Cumule,Quantity Available
10-0974,1,1,1
10-1536,1,1,1
10-1698,1,1,1
10-0159,1,1,1
10-1435,1,1,1
10-3575,1,1,1
10-0532,1,1,1
10-2097,10,10,10
10-5867,1,1,1
10-0721,30,30,30
10-1396,15,15,15
10-0710,6,6,6
10-1048,1,1,1
10-3161,3,3,3
10-0822,25,25,25
10-0349,1,1,1
10-3285,21,21,21
10-4122,32,32,32
10-1094,7,7,7
10-4640,9,9,9
10-5826,2,2,2
10-4075,1,1,1
10-5542,1,1,1
10-4248,32,32,32
10-0567,88,88,88
10-3795,5,5,5
10-0899,19,19,19
10-0151,9,9,9
10-4624,1,1,1
10-6217,5,5,5
10-3383,3,3,3
10-6005,1,1,1
10-4453,2,2,2
10-3292,3,3,3
10-5756,2,2,2
10-2132,23,23,23
10-4502,13,13,13
10-3298,16,16,16
10-0946,1,1,1
10-0370,3,3,3
10-5507,2,2,2
10-1612,1,1,1
10-3843,1,1,1
10-3362,1,1,1
10-4518,1,1,1
10-0823,18,18,18
10-4053,1,1,1
