ID_Product,Quantity,Quantity_Fourniss_After_Cumule
126210,21,21
1267G,0,0
1268G,5,5
127051,1,1
127052,1,1
127066,4,4
13009033,0,0
13009034,0,0
13009037,0,0
13009038,0,0
130465,1,1
130475,0,0
130476,0,0
1309G,3,3
131075,1,1
131077,2,2
131079,3,3
131081,2,2
131098,16,16
131099,5,5
131213,7,7
131214,6,6
1312491,2,2
131258,8,8
131262,1,1
131267,0,0
131268,1,1
131272,4,4
131281,2,2
131282,3,3
131283,6,6
131284,5,5
131289,1,1
131290,0,0
1319G,2,2
1320G,1,1
1321-10,3,3
1321-12,222,222
1321-14,0,0
1321-16,6,6
1321-18,396,396
1321-20,100,100
1321-22,0,0
1321-24,500,500
1321-26,100,100
1322-10,900,900
1322-14,100,100
132260,6,6
1322G,8,8
1324G,22,22
133066,4,4
134051,1,1
134052,0,0
134065,2,2
134066,3,3
134067,5,5
134074,0,0
134099,0,0
1340G,4,4
134973,11,11
134974,10,10
134981,1,1
1349900,5,5
1349901,5,5
1349902,8,8
1349903,5,5
1349904,4,4
1349905,17,17
135098,15,15
135099,10,10
1353G,0,0
13601002,16,16
136069,1,1
136070,2,2
136071,7,7
136072,6,6
136075,13,13
136076,1,1
136078,7,7
136080,2,2
136175,0,0
136176,1,1
136178,0,0
1361G,1,1
136271,1,1
136273,1,1
136350,18,18
136355,6,6
136360,23,23
136576,1,1
136771,1,1
136772,1,1
136809,1,1
136813,1,1
136837,14,14
136868,18,18
136869,9,9
136872,1,1
136876,1,1
136877,4,4
136879,1,1
136898,2,2
136899,11,11
13689900,1,1
13689901,4,4
137671,1,1
137674,0,0
137675,1,1
1379900,3,3
139099,5,5
14008,53,53
1401F05FR,39,39
14136,349,349
1417G,2,2
1418G,0,0
14194,0,0
1422G,2,2
14254,106,106
14314,0,0
143165,2,2
143175,0,0
14352002,4,4
14352003,7,7
14352005,11,11
14352006,10,10
143551,1,1
143552,2,2
143553,2,2
143554,2,2
143576,1,1
143596,0,0
143597,10,10
143599,110,110
143701,0,0
144075,1,1
1442G,2,2
14434,3,3
144352,2,2
144397,5,5
144398,4,4
144399,16,16
14468,0,0
14486,108,108
1450006,1,1
145071,1,1
145075,1,1
14507534,1,1
145077,1,1
14550,147,147
145578,0,0
145599,70,70
145698,2,2
145775,3,3
145776,6,6
145777,1,1
145778,1,1
145781,2,2
145782,1,1
145788,1,1
14596,12,12
14597,14,14
14598,2,2
14599,4,4
1464G,4,4
146775,5,5
146776,0,0
146777,11,11
146778,20,20
146779,2,2
146780,8,8
146799,2,2
1480H,3,3
148103,0,0
148399,6,6
1500024,1,1
1500030,14,14
1500031,10,10
1500032,5,5
1500033,6,6
1500034,6,6
1500035,10,10
1500038,0,0
1500039,1,1
1500040,3,3
1500041,0,0
1500070,1,1
1500071,12,12
1500072,9,9
1500073,1,1
1500074,0,0
1500075,0,0
1500080,1,1
1500082,2,2
150024,2,2
15002501,26,26
150080,1,1
150098,2,2
150099,14,14
1501004,15,15
1501006,14,14
1501007,39,39
150112,1,1
150151,1,1
150152,1,1
150198,2,2
150209,0,0
150213,1,1
150251,1,1
150252,0,0
150275,0,0
150276,0,0
150375,1,1
150475,1,1
15051,2,2
15052,2,2
150675,38,38
150676,26,26
150702,1,1
150735,14,14
150736,14,14
150737,7,7
150738,9,9
1507509,4,4
1507510,4,4
150753,0,0
150754,1,1
1507548,2,2
1507549,2,2
150799,5,5
150899,7,7
15090801,22,22
15091001,316,316
15091002,7,7
15091003,60,60
15091004,42,42
15092001,1,1
150925,46,46
15092501,47,47
150933,33,33
150934,34,34
150935,8,8
150936,6,6
150937,117,117
150938,17,17
150939,57,57
1509500,94,94
150951,14,14
150952,5,5
15096,8,8
150975,16,16
150976,22,22
150981,0,0
150982,0,0
15099,6,6
150999,15,15
151000,28,28
151001,89,89
151002,80,80
151004,33,33
151009,137,137
151025,54,54
151026,16,16
151027,14,14
15105,1,1
1510801,27,27
1510802,7,7
1510803,9,9
1510804,11,11
1510805,13,13
15109000,1,1
151100,2,2
151101,18,18
151102,8,8
151103,66,66
151104,32,32
151105,31,31
151106,11,11
151107,15,15
151108,27,27
15110801,50,50
151109,41,41
151110,87,87
151111,8,8
151112,17,17
151113,10,10
151114,20,20
151115,24,24
15120,1,1
1512001,18,18
1512002,42,42
1512003,28,28
1512004,10,10
1512005,20,20
151268,0,0
151271,2,2
151273,0,0
151274,1,1
151275,1,1
151280,7,7
151290,0,0
15135,1,1
15137511,0,0
15151,1,1
15152,2,2
151701,22,22
151702,24,24
15173,34,34
15174,12,12
15178,2,2
15179,1,1
15180,1,1
15181,2,2
15182,1,1
15195,93,93
15196,21,21
15197,11,11
15198,0,0
15199,3,3
1519900,8,8
1519G,2,2
15204,60,60
15251,1,1
15252,1,1
15253,2,2
15254,2,2
1525G,1,1
153040,29,29
