ID_Product;Quantity;Quantity_Fourniss_After_Cumule;Quantites
NTY AMORTISSEUR AVANT;5902048362841;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048362858;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048362865;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048362872;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048362889;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347466;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347473;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048347480;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048347497;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048347503;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048328908;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048328915;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048328922;2868407966829846;2868407966829846
NTY AMORTISSEUR ARRIERE;5902048328939;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048373946;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048373953;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048373960;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048373977;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048374172;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048374189;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048374196;2868407966829846;2868407966829846
NTY AMORTISSEUR ARRIERE;5902048374202;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048414212;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048414229;2868407966829846;2868407966829846
NTY AMORTISSEUR ARRIERE;5902048433015;2868407966829846;2868407966829846
NTY AMORTISSEUR ARRIERE;5902048433022;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048433039;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048433046;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048433053;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048433060;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048433077;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048433084;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048433091;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048432988;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048432995;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048433008;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048339966;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048339973;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048339980;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048339997;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048340009;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048340016;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048340023;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048340030;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048340047;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048340054;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048340061;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048340078;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048340085;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048340092;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048340108;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048340115;2868407966829846;2868407966829846
NTY AMORTISSEUR ARRIERE;5902048340122;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048340139;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048340146;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048340153;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048340160;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048340177;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048340184;2868407966829846;2868407966829846
NTY AMORTISSEUR ARRIERE;5902048340191;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048340207;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048340214;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048340221;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048340238;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048340245;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048340252;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048340269;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048340276;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048340283;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048340290;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048340306;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048340313;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048340320;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048340337;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048340344;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048340351;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048340368;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048347510;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347527;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048347534;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048347541;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347558;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347565;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347572;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347589;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347596;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347602;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347619;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048347626;2868407966829846;2868407966829846
NTY AMORTISSEUR ARRIERE;5902048347633;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048347640;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347657;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347664;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048347671;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048347688;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347695;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048347701;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048347718;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347725;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048347732;2868407966829846;2868407966829846
NTY AMORTISSEUR ARRIERE;5902048347749;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048347756;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347763;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048347770;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048347787;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347794;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347800;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347817;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347824;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347831;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048347848;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048340375;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048340382;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048340399;4090138207437312;4090138207437312
