ID_Product,Quantity,Quantity_Fourniss_After_Cumule,on_depot
A0040PR,10,10,10
A0041,0,0,0
A0042,10,10,10
A0042PR,0,0,0
A0043,10,10,10
A0043P,10,10,10
A0043PR,10,10,10
A0044,10,10,10
A0044P,10,10,10
A0044PR,10,10,10
A0045,10,10,10
A0045PR,10,10,10
A0046,10,10,10
A0046PINA,0,0,0
A0046P,10,10,10
A0046PR,10,10,10
A0047,10,10,10
A0048,10,10,10
A0049,10,10,10
A0049SEG,10,10,10
A0049PR,10,10,10
A0049S,10,10,10
A0050,10,10,10
A0051,8,8,8
A0052,10,10,10
A0052PR,10,10,10
A0053,10,10,10
A0053PR,0,0,0
A0054,10,10,10
A0055,10,10,10
A0056,10,10,10
A0057,9,9,9
A0057PR,10,10,10
A0058,10,10,10
A0059,10,10,10
A0059PINA,10,10,10
A0059P,10,10,10
A0059PR,0,0,0
A0059S,5,5,5
A0059SR,0,0,0
A0060,4,4,4
ARC3167S,5,5,5
ARC3168S,8,8,8
ARC3169S,2,2,2
ARC3170S,2,2,2
ARC3171S,1,1,1
ARC3172S,5,5,5
ARC3173S,9,9,9
ARC3174S,1,1,1
ARC3175S,8,8,8
ARC3176S,0,0,0
ARC3177S,6,6,6
ARC3178S,6,6,6
ARC3179S,0,0,0
ARC3180S,2,2,2
ARC3181S,7,7,7
ARC3182S,10,10,10
ARC3183S,10,10,10
ARC3184S,8,8,8
ARC3185S,5,5,5
ARC3186S,10,10,10
ARC3187S,10,10,10
ARC3188S,2,2,2
ARC3189S,0,0,0
ARC3190S,9,9,9
ARC3191S,8,8,8
ARC3193S,10,10,10
ARC3194S,3,3,3
ARC3196S,0,0,0
ARC3197S,0,0,0
ARC3198S,0,0,0
ARC3199S,1,1,1
ARC3200S,1,1,1
ARC3201S,8,8,8
ARC3202S,10,10,10
ARC3203S,10,10,10
ARC3204S,10,10,10
ARC3205S,2,2,2
ARC3206S,0,0,0
ARC3207S,10,10,10
ARC3208S,8,8,8
ARC3209S,10,10,10
ARC3210S,0,0,0
ARC3211S,2,2,2
ARC3212S,0,0,0
ARC3213S,10,10,10
ARC3214S,10,10,10
ARC3215S,4,4,4
ARC3216S,10,10,10
ARC3217S,2,2,2
ARC3218S,5,5,5
ARC4025,10,10,10
ARC4026,10,10,10
ARC4027,3,3,3
ARC4028,10,10,10
ARC4029,10,10,10
ARC4030,10,10,10
ARC4031,10,10,10
ARC4032,5,5,5
ARC4033,10,10,10
ARC4034,10,10,10
ARC4035,10,10,10
ARC4036,10,10,10
ARC4037,10,10,10
ARC4038,10,10,10
ARC4039,0,0,0
ARC4040S,2,2,2
ARC4041S,0,0,0
ARC4042PR,10,10,10
ARC5001,10,10,10
ARC5002,9,9,9
ARC5003,10,10,10
ARC5004,4,4,4
ARC5006,6,6,6
ARC5007,10,10,10
ARC5008,10,10,10
ARC5009,10,10,10
ARC5010,10,10,10
ARC5011,10,10,10
ARC5012,10,10,10
ARC5013,10,10,10
ARC5014,10,10,10
ARC5015,10,10,10
ARC5016,10,10,10
ARC5017,10,10,10
ARC5019,10,10,10
ARC5020,10,10,10
ARC5021,10,10,10
ARC5022,4,4,4
ARC5023,8,8,8
ARC5024,10,10,10
ARC5025,6,6,6
ARC5026,10,10,10
ARC5027,10,10,10
ARC5028,10,10,10
ARC5029,8,8,8
ARC5030,10,10,10
ARC5031,10,10,10
ARC5032,8,8,8
ARC5034,10,10,10
ARC5035,10,10,10
A01078S,3,3,3
A01079S,9,9,9
A0108,7,7,7
A01080S,0,0,0
A01081S,0,0,0
A01082S,10,10,10
A01083S,9,9,9
A01084S,9,9,9
A01085S,7,7,7
A01086S,9,9,9
A01087S,9,9,9
A01088S,10,10,10
A01089S,10,10,10
A0109,10,10,10
A01090S,9,9,9
A01091S,10,10,10
A01092S,10,10,10
A01093S,10,10,10
A01094S,10,10,10
A01095S,0,0,0
A01096S,4,4,4
A01097S,5,5,5
A01098S,0,0,0
A01099S,10,10,10
A0110,1,1,1
A01100SEG,6,6,6
A01101S,8,8,8
A01102SEG,10,10,10
A01103S,10,10,10
A01104SEG,10,10,10
A01105SEG,10,10,10
A01106S,10,10,10
A01107S,7,7,7
A01108S,10,10,10
A01109S,3,3,3
A0110PR,0,0,0
A0111,0,0,0
A01110S,5,5,5
A01111S,10,10,10
A01112S,10,10,10
A01113S,8,8,8
A01114S,5,5,5
A01115S,8,8,8
A01116S,6,6,6
A01117S,4,4,4
A01118S,10,10,10
A01119S,9,9,9
A0112,4,4,4
A01120S,0,0,0
A01121S,9,9,9
ARC3219S,10,10,10
ARC3220S,4,4,4
ARC3221S,10,10,10
ARC3222VALEO,4,4,4
ARC3223S,10,10,10
ARC3224S,0,0,0
ARC3225S,10,10,10
ARC3226S,6,6,6
ARC3227S,10,10,10
ARC3228S,0,0,0
ARC3229S,8,8,8
ARC3230S,1,1,1
ARC3231S,2,2,2
ARC3232S,10,10,10
ARC3233S,6,6,6
ARC3234S,4,4,4
ARC3235S,4,4,4
ARC3236S,0,0,0
ARC3237S,0,0,0
ARC3238S,8,8,8
ARC3239S,0,0,0
ARC3240S,5,5,5
ARC3241S,5,5,5
ARC3242S,0,0,0
ARC4001,10,10,10
ARC4002,10,10,10
ARC4003,10,10,10
ARC4003SR,0,0,0
ARC4004,10,10,10
ARC4005,10,10,10
ARC4006,10,10,10
ARC4007,0,0,0
ARC4008,10,10,10
ARC4009,10,10,10
ARC4010,10,10,10
ARC4011,10,10,10
ARC4012,10,10,10
ARC4013,10,10,10
ARC4014,10,10,10
ARC4015S,0,0,0
ARC4016,10,10,10
ARC4017,6,6,6
ARC4018,10,10,10
ARC4019,10,10,10
ARC4020,10,10,10
ARC4021,0,0,0
ARC4022,10,10,10
ARC4022P,10,10,10
ARC4023,10,10,10
ARC4024,8,8,8
ARC5086,0,0,0
ARC5087,10,10,10
ARC5088,3,3,3
ARC5089,10,10,10
ARC5090,10,10,10
ARC5091,4,4,4
ARC5092,10,10,10
ARC5093,10,10,10
ARC5094,10,10,10
ARC5095,5,5,5
ARC5096,10,10,10
ARC5097,10,10,10
ARC5098,0,0,0
ARC5099,10,10,10
ARC5100,5,5,5
ARC5101,9,9,9
ARC5102,10,10,10
ARC5103,10,10,10
ARC5104,10,10,10
ARC5104MITSUBISHI,0,0,0
ARC5105,0,0,0
ARC5106,10,10,10
ARC5107,10,10,10
ARC5108,10,10,10
ARC5109,10,10,10
ARC5110,3,3,3
ARC5111,1,1,1
ARC5112,10,10,10
ARC5113,4,4,4
ARC5114,10,10,10
ARC5115,4,4,4
ARC5116,10,10,10
ARC5117,10,10,10
ARC5118,0,0,0
ARC5119,10,10,10
ARC5120,0,0,0
ARC5121,0,0,0
ARC5122,10,10,10
ARC5123,10,10,10
ARC5124,10,10,10
ARC5125,10,10,10
ARC5126,10,10,10
ARC5127,7,7,7
ARC5128,10,10,10
ARC5128MITSUBISHI,10,10,10
ARC5129,6,6,6
ARC5130,10,10,10
ARC5131,0,0,0
ARC5132,7,7,7
ARC5133,1,1,1
A01122S,9,9,9
A01123S,9,9,9
A01124SEG,5,5,5
A01125SEG,4,4,4
A01126S,0,0,0
A01127SEG,5,5,5
A01128S,10,10,10
A01129S,10,10,10
A0113,4,4,4
A01130S,10,10,10
A01131S,4,4,4
A01132SEG,5,5,5
A01133SEG,5,5,5
A01134SEG,5,5,5
A01135S,4,4,4
A01136SEG,5,5,5
A01136S,0,0,0
A01137SEG,4,4,4
A01138SEG,5,5,5
A01139SEG,5,5,5
A0114,10,10,10
A01140SEG,5,5,5
A01141SEG,5,5,5
A01142SEG,0,0,0
A01143S,0,0,0
A01144S,0,0,0
A01145S,0,0,0
A01146SEG,5,5,5
A01147SEG,5,5,5
A01148SEG,5,5,5
A01148S,0,0,0
A01149SEG,5,5,5
A0114PR,3,3,3
A0114SR,0,0,0
A0115,10,10,10
A01150SEG,5,5,5
A01151SEG,5,5,5
A01152SEG,3,3,3
A01153SEG,4,4,4
A01154SEG,4,4,4
A01155SEG,3,3,3
A01156SEG,5,5,5
A01157SEG,4,4,4
A01158SEG,5,5,5
A01159SEG,5,5,5
A0116,0,0,0
A01160SEG,3,3,3
A01161SEG,3,3,3
A01162SEG,4,4,4
A01163SEG,5,5,5
ARE0183BOSCH,5,5,5
ARE0183SEG,4,4,4
ARE0183P,8,8,8
ARE0184BOSCH,10,10,10
ARE0184SEG,10,10,10
ARE0184P,4,4,4
ARE0184P2,10,10,10
ARE0184S,10,10,10
ARE0185BOSCH,10,10,10
ARE0185SEG,10,10,10
ARE0185P,4,4,4
ARE0185S,10,10,10
ARE0185S2,6,6,6
ARE0186P,6,6,6
ARE0187P,10,10,10
ARE0188P,10,10,10
ARE0189P,10,10,10
ARE0191BOSCH,10,10,10
ARE0191SEG,10,10,10
ARE0191P,10,10,10
